Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
173,11.25,False,2.265625,23.994140625,173_smell_odor_dirty_sock,"['smell', 'odor', 'dirty', 'sock', 'dirty sock', 'sock smell', 'fumes', 'socks', 'strong', 'dirty socks']",64
156,14.761904761904765,False,1.2424242424242424,23.932178932178935,156_5g_gps_5g interference_interference,"['5g', 'gps', '5g interference', 'interference', 'radio altimeter', 'adsb', 'signal', 'gps signal', 'loss gps', 'altimeter']",66
481,8.333333333333334,False,1.5116279069767442,14.631782945736436,481_gps_ils_approach_garmin,"['gps', 'ils', 'approach', 'garmin', '530w', 'map', 'approaches', 'smo', 'missed approach', 'aspen']",43
560,8.125,False,1.4864864864864864,14.16385135135135,560_gps_5g_jamming_gps jamming,"['gps', '5g', 'jamming', 'gps jamming', 'adsb', 'den', 'gps signal', 'terr', 'pos', 'reception']",37
526,5.0,False,2.475,11.1875,526_qrh_suitable_nearest_nearest suitable,"['qrh', 'suitable', 'nearest', 'nearest suitable', 'suitable airport', 'eicas', 'diversion', 'irs', 'warning', 'illuminated']",40
314,5.0,False,2.2884615384615383,10.721153846153847,314_smoke_oven_smell_burning,"['smoke', 'oven', 'smell', 'burning', 'electrical', 'fumes', 'electrical burning', 'burning smell', 'odor', 'smoke fumes']",52
495,4.545454545454545,False,2.2142857142857144,9.577922077922077,495_glideslope_missed approach_terrain_egpws,"['glideslope', 'missed approach', 'terrain', 'egpws', 'missed', 'warning', 'executed', 'approach', 'gpws', 'glide']",42
0,4.146341463414634,False,2.4031007751937983,9.128379655889582,0_smell_odor_smelled_fumes,"['smell', 'odor', 'smelled', 'fumes', 'burning', 'fa', 'smoke', 'galley', 'strong', 'cabin']",129
184,4.545454545454545,False,1.875,8.806818181818182,184_flap_seat_placard_2r,"['flap', 'seat', 'placard', '2r', 'flaps', 'trim', 'stabilizer', 'edge', 'asymmetry', 'disagree']",64
373,3.8095238095238098,False,2.24,8.076190476190478,373_fumes_apu_odor_smell,"['fumes', 'apu', 'odor', 'smell', 'packs', 'bleed', 'apu bleed', 'pack', 'fume', 'smoke']",50
749,3.333333333333333,False,2.235294117647059,7.0588235294117645,749_cabin pressure_masks_cabin_master,"['cabin pressure', 'masks', 'cabin', 'master', 'o2', 'pack', 'caution', 'immediate action', 'qrh', 'passenger o2']",17
25,3.125,False,2.191011235955056,6.548455056179775,25_tank_fuel_center tank_imbalance,"['tank', 'fuel', 'center tank', 'imbalance', 'tanks', 'fuel imbalance', 'tank fuel', 'right tank', 'crossfeed', 'pumps']",89
517,3.636363636363636,False,1.575,6.499999999999999,517_gyro_tachometer_indicator_efb,"['gyro', 'tachometer', 'indicator', 'efb', 'gear', 'slats', 'auto', 'cdi', 'chart', 'gestures']",40
465,3.0555555555555554,False,2.159090909090909,6.354166666666666,465_odor_dirty_smell_fume,"['odor', 'dirty', 'smell', 'fume', 'socks', 'sock', 'apu', 'dirty socks', 'dirty sock', 'fume event']",44
731,3.333333333333333,False,1.2380952380952381,5.396825396825396,731_tfr_lighting_tired_afd,"['tfr', 'lighting', 'tired', 'afd', 'ercoupe', 'radio', 'lights', '26', 'runway 26', 'foreflight']",21
444,2.727272727272727,False,1.9555555555555555,5.393939393939394,444_brake_gear_shimmy_wheel,"['brake', 'gear', 'shimmy', 'wheel', 'tail strike', 'tire', 'main', 'brakes', 'tires', 'right main']",45
379,3.125,False,1.4081632653061225,5.325255102040816,379_tire_assembly_wheel assembly_wheel,"['tire', 'assembly', 'wheel assembly', 'wheel', 'axle', 'washer', 'tires', 'mlg', 'nut', 'bearing']",49
681,2.5,False,2.25,5.3125,681_zzz2_zzz3_zzz1_cht,"['zzz2', 'zzz3', 'zzz1', 'cht', 'bolts', 'voltage', 'vibration', 'precipitation', 'weather', 'regulator']",28
591,2.5,False,2.0285714285714285,5.035714285714286,591_failure_gps_transponder_imc,"['failure', 'gps', 'transponder', 'imc', 'instruments', 'avionics', 'fmgc', 'dp', 'electrical', 'autopilot']",35
426,2.3076923076923075,False,2.130434782608696,4.765886287625417,426_smell_odor_smelled_oven,"['smell', 'odor', 'smelled', 'oven', 'strong', 'taste', 'metallic', 'attendant reported', 'burning', 'dirty']",46
548,2.857142857142857,False,1.3157894736842106,4.736842105263158,548_supertug_deer_wing_concrete,"['supertug', 'deer', 'wing', 'concrete', 'tractor', 'covers', 'remote', 'structure', 'setting sun', 'marshallers']",38
563,2.1951219512195124,False,2.2432432432432434,4.657218193803561,563_odor_smell_fumes_smelled,"['odor', 'smell', 'fumes', 'smelled', 'fume', 'fume event', 'strong', 'burning', 'dissipated', 'cabin']",37
659,3.333333333333333,False,0.7333333333333333,4.555555555555555,659_flow control_channel_hawker_b737,"['flow control', 'channel', 'hawker', 'b737', 'collision alert', 'simultaneous', '18c', 'separation', 'crj2', 'e145']",30
729,3.333333333333333,False,0.6818181818181818,4.469696969696969,729_tug_pushback_push_push crew,"['tug', 'pushback', 'push', 'push crew', 'headset', 'tug driver', 'driver', 'pushback crew', 'wireless', 'count']",22
474,2.727272727272727,False,1.2093023255813953,4.3763213530655385,474_speed_flaps_autothrust_airspeed,"['speed', 'flaps', 'autothrust', 'airspeed', 'knots', 'flap', 'kts', 'thrust', 'thrust levers', 'levers']",43
306,1.9230769230769231,False,2.547169811320755,4.372278664731495,306_power_throttle_engine_loss power,"['power', 'throttle', 'engine', 'loss power', 'rpm', 'pump', 'fuel pump', 'power loss', 'fuel', 'runup']",53
514,1.818181818181818,False,2.6,4.181818181818181,514_power_lost power_offfield landing_damage,"['power', 'lost power', 'offfield landing', 'damage', 'offfield', 'partial power', 'prop', 'rough', 'rpm', 'loss power']",40
305,1.9444444444444446,False,2.2452830188679247,4.1273584905660385,305_engine_thrust_n1_idle,"['engine', 'thrust', 'n1', 'idle', 'eng', 'number engine', 'qrh', 'ecam', 'thrust lever', 'lever']",53
493,1.818181818181818,False,2.4761904761904763,4.069264069264069,493_smoke_electrical_smell_smoke cockpit,"['smoke', 'electrical', 'smell', 'smoke cockpit', 'smoke coming', 'panel', 'smelled', 'burning', 'circuit', 'cockpit']",42
152,1.744186046511628,False,2.515151515151515,3.937632135306554,152_zzz1_engine_zzz2_hydraulic,"['zzz1', 'engine', 'zzz2', 'hydraulic', 'thrust', 'oil', 'divert', 'qrh', 'ecam', 'priority handling']",66
490,2.3076923076923075,False,1.4047619047619047,3.928571428571428,490_weather_zjx_severe_severe turbulence,"['weather', 'zjx', 'severe', 'severe turbulence', 'zspd', 'route', 'turbulence', 'deviations', 'zzz1', 'florida']",42
226,2.3809523809523814,False,1.2881355932203389,3.9144471347861187,226_wake_wake turbulence_turbulence_encountering wake,"['wake', 'wake turbulence', 'turbulence', 'encountering wake', 'preceding', 'encountering', 'reported encountering', 'b757', 'encountered', 'encountered wake']",59
188,1.875,False,2.1746031746031744,3.9136904761904754,188_windshield_shattered_cracked_window,"['windshield', 'shattered', 'cracked', 'window', 'pane', 'windscreen', 'crack', 'windshield heat', 'heat', 'outer']",63
738,1.818181818181818,False,2.25,3.863636363636363,738_student_prop_multi_student lost,"['student', 'prop', 'multi', 'student lost', 'multi engine', 'thrust reverser', 'prop strike', 'throttle', 'react', 'aircraft hit']",20
375,1.875,False,2.12,3.8625000000000003,375_fmgc_gen_nav_reset,"['fmgc', 'gen', 'nav', 'reset', 'adg', 'messages', 'qrh', 'auto', 'circuit', 'electrical']",50
159,1.9230769230769231,False,1.9848484848484849,3.831585081585082,159_icing_icing conditions_bleed_antiice,"['icing', 'icing conditions', 'bleed', 'antiice', 'ice', 'conditions', 'bleed leak', 'message', 'ai', 'fail']",66
436,1.818181818181818,False,2.1555555555555554,3.777777777777777,436_ecam_eng_ecam alerted_engine torque,"['ecam', 'eng', 'ecam alerted', 'engine torque', 'eicas', 'overweight', 'qrh', 'vane', 'overweight landing', 'egt']",45
596,1.875,False,2.0285714285714285,3.7767857142857144,596_bag_smoke_matches_smoke coming,"['bag', 'smoke', 'matches', 'smoke coming', 'adapter', 'lithium', 'st', 'batteries', 'cargo', 'burning']",35
603,1.6666666666666667,False,2.5294117647058822,3.7745098039215685,603_low altitude_altitude alert_alert_low,"['low altitude', 'altitude alert', 'alert', 'low', 'altitude', 'issued low', 'visual approach', 'alert tower', 'visual', 'approach altitude']",34
322,1.818181818181818,False,2.1153846153846154,3.7412587412587404,322_rudder_yaw_tr_yaw damper,"['rudder', 'yaw', 'tr', 'yaw damper', 'spoilers', 'damper', 'deflection', 'aileron', 'flight control', 'uncommanded']",52
228,1.6129032258064515,False,2.610169491525424,3.7178786221979223,228_carburetor_oil_engine_power,"['carburetor', 'oil', 'engine', 'power', 'oil pressure', 'carburetor heat', 'tank', 'fuel', 'gallons', 'mixture']",59
600,1.875,False,1.911764705882353,3.667279411764706,600_reporting aircraft_nmac_reporting_nontowered,"['reporting aircraft', 'nmac', 'reporting', 'nontowered', 'position reports', 'reported nmac', 'helicopter', 'ctaf', 'touchandgo', 'lc']",34
84,1.6666666666666667,False,2.3289473684210527,3.6074561403508776,84_bleed_hyd_qrh_hydraulic,"['bleed', 'hyd', 'qrh', 'hydraulic', 'eicas', 'pack', 'eng', 'message', 'sys', 'bleed leak']",76
65,2.3809523809523814,False,1.0256410256410255,3.6019536019536025,65_rnav_rnp_approach_ils,"['rnav', 'rnp', 'approach', 'ils', '34r', 'vnav', 'fms', 'rnav approach', 'fmc', 'minimum descent']",78
581,2.727272727272727,False,0.6388888888888888,3.598484848484848,581_orleans_new orleans_s46_airspace,"['orleans', 'new orleans', 's46', 'airspace', 'separation', 'van nuys', 'nuys', 'vfr', 'bfi', 'rvs']",36
663,1.818181818181818,False,1.9310344827586208,3.5736677115987456,663_apu_start_apu shutdown_pwr,"['apu', 'start', 'apu shutdown', 'pwr', 'shutdown', 'bus', 'ground air', 'ecl', 'shut', 'turned apu']",29
664,1.818181818181818,False,1.896551724137931,3.5423197492163006,664_smoke_gate_department_venting,"['smoke', 'gate', 'department', 'venting', 'passengers', 'cargo', 'tailpipe', 'jetway', 'fuel', 'aft cargo']",29
739,1.6666666666666665,False,2.25,3.5416666666666665,739_filter bypass_bypass_bypass light_filter,"['filter bypass', 'bypass', 'bypass light', 'filter', 'light illuminated', 'illuminated', 'fuel filter', 'oil filter', 'hpsov', 'light']",20
640,1.818181818181818,False,1.8387096774193548,3.4897360703812312,640_flames_number engine_fuel cap_coming number,"['flames', 'number engine', 'fuel cap', 'coming number', 'engine', 'cap', 'flames coming', 'number', 'discharged', 'coming']",31
665,1.818181818181818,False,1.8275862068965518,3.47962382445141,665_standby power_standby_battery_bus,"['standby power', 'standby', 'battery', 'bus', 'alternator', 'electrical', 'power', 'batt', 'inverter', 'alt']",29
